pipeline_version,repeat,rho,outlier_rate,method,ridge_lambda,huber_delta,cond_reg,coef_fro_norm,frac_downweighted,mean_iter,support_average_precision,precision_at_k,recall_at_k,f1_at_k,truth_cosine,truth_spearman,sign_agreement_relevant,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,orientation,solver,cond_raw,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,converged,mean_huber_weight,residual_mode,effective_delta_on_l2_norm,log10_cond_reg,log10_coef_norm
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.0,ZeroOperator,0.01,1.0,,0.0,0.0,0,0.1,0.1,0.1,0.10000000000000002,,,0.0,0.04630879290599165,0.21519477899333816,-2.844596848888313,,,,,,,,,,,,,,,,,,,-300.0
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.0,AIME,0.0,1.0,4.800103896044979,4.851336364184448,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.9998331161316834,0.5205930288720461,1.0,0.0025510888912725974,0.05050830517125473,0.7882063492233327,0.972066127517337,,,,X ~= Y A^T,SVD normal-system solve,4.800103896044979,68.00341805739518,68.00341805739518,326.42347196167805,326.42347196167805,68.0034180573952,3.2642347196167805e-10,True,1.0,rms,10.0,0.6812506375819842,0.6858613871894279
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.0,HuberAIME,0.0,1.0,4.800103896044979,4.851336364184448,0.0,2,0.9999999999999999,1.0,1.0,1.0,0.9998331161316834,0.5205930288720461,1.0,0.0025510888912725974,0.05050830517125473,0.7882063492233327,0.972066127517337,,,,X ~= Y A^T,SVD normal-system solve,4.800103896044979,68.00341805739518,68.00341805739518,326.42347196167805,326.42347196167805,68.0034180573952,3.2642347196167805e-10,True,1.0,rms,10.0,0.6812506375819842,0.6858613871894279
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.0,RidgeAIME,0.01,1.0,4.799545167487495,4.850896875814387,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.9998331068686978,0.5205930288720461,1.0,0.0025510965375155036,0.05050838086412495,0.7882057144254997,0.9720661030627581,,,,X ~= Y A^T,SVD normal-system solve,4.800103896044979,68.00341805739518,68.01341805739526,326.42347196167805,326.43347196167815,68.01341805739521,3.264334719616781e-10,True,1.0,rms,10.0,0.681200083081905,0.6858220421501184
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.0,HuberRidgeAIME,0.01,1.0,4.799545167487495,4.850896875814387,0.0,2,0.9999999999999999,1.0,1.0,1.0,0.9998331068686978,0.5205930288720461,1.0,0.0025510965375155036,0.05050838086412495,0.7882057144254997,0.9720661030627581,,,,X ~= Y A^T,SVD normal-system solve,4.800103896044979,68.00341805739518,68.01341805739526,326.42347196167805,326.43347196167815,68.01341805739521,3.264334719616781e-10,True,1.0,rms,10.0,0.681200083081905,0.6858220421501184
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.05,ZeroOperator,0.01,1.0,,0.0,0.0,0,0.1,0.2,0.2,0.20000000000000004,,,0.0,0.04029193793755664,0.20072851799770913,-1.8725149802426837,,0.04698672114402452,1.0,1.0,,,,,,,,,,,,,,,-300.0
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.05,AIME,0.0,1.0,4.5745748498456775,5.262082129995281,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.9339759718164821,0.5205699759315447,0.9333333333333333,0.006321306000265469,0.07950664123370745,0.5493379790120454,0.923323416315027,0.04698672114402452,1.0,1.0,X ~= Y A^T,SVD normal-system solve,4.5745748498456775,71.34728784547453,71.34728784547453,326.38350858260793,326.38350858260793,71.34728784547451,3.2638350858260786e-10,True,1.0,rms,10.0,0.6603507379771653,0.7211576222227727
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.05,HuberAIME,0.0,1.0,4.535145243450893,4.873948147657567,0.04698672114402452,5,0.9999999999999999,1.0,1.0,1.0,0.997220859655611,0.5205930288720461,0.9666666666666667,0.0026426948373759786,0.051407147726517353,0.8115955474681533,0.9666617125609626,0.9999999999999999,0.2216883345599764,1.0,X ~= Y A^T,SVD normal-system solve,4.535145243450893,69.33415750994665,69.33415750994665,314.44047463990955,314.44047463990955,69.33415750994668,3.144404746399096e-10,True,0.9634296868128283,rms,10.0,0.6565912004190829,0.6878809045561369
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.05,RidgeAIME,0.01,1.0,4.574073909443126,5.261529159881362,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.9339791965924533,0.5205699759315447,0.9333333333333333,0.006320474109522949,0.07950140948136045,0.5493972866239928,0.9233270281579447,0.04698672114402452,1.0,1.0,X ~= Y A^T,SVD normal-system solve,4.5745748498456775,71.34728784547453,71.35728784547447,326.38350858260793,326.3935085826079,71.35728784547456,3.2639350858260784e-10,True,1.0,rms,10.0,0.660303177805487,0.7211119816412768
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.05,HuberRidgeAIME,0.01,1.0,4.5346354450091715,4.873438043453824,0.04698672114402452,5,0.9999999999999999,1.0,1.0,1.0,0.9972210662322518,0.5205930288720461,0.9666666666666667,0.002642651715605608,0.05140672831065607,0.8115986217291025,0.9666619481692261,0.9999999999999999,0.22168831459919158,1.0,X ~= Y A^T,SVD normal-system solve,4.53514524213866,69.33415746266063,69.34415746266058,314.44047433447804,314.4504743344779,69.3441574626606,3.1445047433447807e-10,True,0.9634296858749365,rms,10.0,0.6565423783674896,0.6878354492029294
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.1,ZeroOperator,0.01,1.0,,0.0,0.0,0,0.1,0.1,0.1,0.10000000000000002,,,0.0,0.03789388526577467,0.19466351806585297,-1.580831274122255,,0.09193054136874361,1.0,1.0,,,,,,,,,,,,,,,-300.0
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.1,AIME,0.0,1.0,4.622849191509148,5.545001493250842,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.836705387767114,0.5202702877050269,0.9666666666666667,0.012033842283772044,0.10969887093207498,0.1804135074567219,0.8537328959336877,0.09193054136874361,1.0,1.0,X ~= Y A^T,SVD normal-system solve,4.622849191509148,70.60341282735203,70.60341282735203,326.3889299067109,326.3889299067109,70.60341282735202,3.263889299067109e-10,True,1.0,rms,10.0,0.6649097259356598,0.7439016674392841
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.1,HuberAIME,0.0,1.0,4.628593995050504,4.8639059099250845,0.09193054136874361,6,0.9999999999999999,1.0,1.0,1.0,0.992300127743572,0.5205930288720461,1.0,0.00288191608239676,0.05368348053541946,0.8037219170671018,0.9612579708261372,0.9999999999999999,0.2017582077273178,1.0,X ~= Y A^T,SVD normal-system solve,4.628593995050504,65.33567421381272,65.33567421381272,302.4123093286296,302.4123093286296,65.3356742138127,3.0241230932862966e-10,True,0.926617199893216,rms,10.0,0.6654490875785939,0.6869851651142732
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.1,RidgeAIME,0.01,1.0,4.622336137537324,5.544376814917612,0.0,1,0.9999999999999999,1.0,1.0,1.0,0.8367115202898157,0.5202702877050269,0.9666666666666667,0.0120321158456267,0.10969100166206297,0.18053108963461384,0.8537382745856755,0.09193054136874361,1.0,1.0,X ~= Y A^T,SVD normal-system solve,4.622849191509148,70.60341282735203,70.61341282735202,326.3889299067109,326.3989299067109,70.61341282735204,3.263989299067109e-10,True,1.0,rms,10.0,0.6648615243039607,0.7438527387535031
r5_final_inverse_map_complete_2026-08-31,0,0.0,0.1,HuberRidgeAIME,0.01,1.0,4.628038737445345,4.863337696919703,0.09193054136874361,6,0.9999999999999999,1.0,1.0,1.0,0.9923005505339322,0.5205930288720461,1.0,0.0028818536326792304,0.05368289888483324,0.8037261703175387,0.9612582048913672,0.9999999999999999,0.20175818108320595,1.0,X ~= Y A^T,SVD normal-system solve,4.628594029606599,65.33567355300104,65.34567355300102,302.4123085277464,302.4223085277465,65.34567355300102,3.024223085277464e-10,True,0.9266171974438085,rms,10.0,0.6653969854111615,0.6869344268408142
r5_final_inverse_map_complete_2026-08-31,0,0.7,0.0,ZeroOperator,0.01,1.0,,0.0,0.0,0,0.1,0.0,0.0,0.0,,,0.0,0.034773745874627726,0.18647719934251406,-4.187116329219423,,,,,,,,,,,,,,,,,,,-300.0
